item,label
唐 后期 韩愈 经学家 不太 重视 礼记 中 大学 中庸 专门 抽出来 载道 重要 经典 详加 注释 大力 宣扬 修身 齐家治国平天下 内容 宋代 更 修齐治平 放到 极为重要 位置 上 大学 中庸 论语 孟子 列为 四书 成为 儒家 原始 经典 中 经典 上述 材料 典型 表明 唐宋 时期 儒家 学者 认为 心在 理学 体系 中 具有 重要 地位 纲常 伦理 注入 社会 生活 层面 积极 应对 佛道 之学 儒学 带来 挑战 面临 创立 儒学 新 体系 时代 课题 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 试题 分析 大力 宣扬 修身 齐家治国平天下 内容 宋代 更 修齐治平 放到 极为重要 位置 上 材料 着重 论述 伦理道德 个人 家庭 社会 国家 之间 关系 突出 儒学 社会 功能 反映 唐宋 时期 儒家 学者 试图 构建 比较 完整 哲学体系 选择 材料 没有 体现 理学 形成 背景 题意 无关 排除 知识点 知识点 宋明理学 文艺 春天,现代史
下面 新 中国 历届 政治协商会议 代表 人数 示意图 此图 表明 新 中国政协 制度 形成 经历 长期 过程 爱国统一战线 力量 逐步 发展壮大 联合 力量 进行 社会主义 建设 民主 政治 建设 上 已经 较为 完善 题型 单选题 难度 简单 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 本题 主要 考查 学生 阅读 史料 提取 有效 信息 能力 年 政治协商会议 代行 人大 职能 结束 统一战线 组织 继续 存在 人数 增长 说明 爱国统一战线 力量 逐步 发展壮大 选项 选型 图片 中 信息 不 符合 知识点 知识点 民族区域 自治 制度 建立 三个代表 重要 思想 祖国统一 历史潮流 监察 制度 民主 政治 制度 建设 民主 政治 重要文献 共产党 领导 多党合作 政治协商 制度 形成 新民主主义革命 胜利 伟大意义,近代史
年月日 中国 访问 杜威 写给 女儿 信中 说 使 国家 岁 孩子 领导 人们 展开 一场 大 清扫 政治 改革 运动 使 商人 各行各业 人 感到 羞愧 加入 队伍 难以想象 真是 了不起 国家 当时 中国 出现 这一 现象 主要 原因 戊戌变法 促进 中国 人民 觉醒 新文化运动 使 人们 思想 得到 空前 解放 马克思主义 中国 广泛传播 中国共产党 成立 使 中国 革命 进入 新 阶段 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 本题 主要 考查 新文化运动 影响 材料 信息 结合 所学 知识 可知 材料 反映 五四运动 五四运动 新文化运动 关系密切 新文化运动 使 人们 思想 得到 空前 解放 五四运动 原因 选是 符合 题意 正确 五四运动 戊戌变法 无 直接 关系 选项 不 符合 题意 排除 马克思主义 中国 广泛传播 不是 五四运动 原因 选项 不 符合 题意 排除 年月日 中国共产党 还 未 成立 选项 不 符合 题意 排除 本题 选 知识点 知识点 新文化运动,近代史
隋朝 唐初 御史台 只管 揭发 传闻 即可 奏劾 开元 之后 纠举 之前 往往 推覆理 弹 说明 唐朝 开元 之后 监察 重 证据 捕风捉影 当时 监察 特征 弹劾 皇帝 监察官 主要职责 唐代 监察 体制 弊端 日益突出 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 本题 考查 学生 解读 史料 获取信息 能力 题干 中 推覆理 弹 说明 御史 行使 纠举 上报 事件 进行 反复 查实 推理 核实 之后 才能 官员 行使 弹劾 权力 项 说法 错误 项 概括 不 全面 项 材料 中 没有 体现 知识点 知识点 重 农抑商 政策 郡县制 夏商 两代 政治 制度 选官 官 制度 变化 中央 官制 三公九卿 制 皇帝 制度,古代史
近代 英美法 德等国 都 确立 代议制 代议制 形式 却 不尽相同 主要 是因为 国情 不同 资本主义 发展 程度 不同 传统 不同 受 启蒙 思想 影响 不同 题型 单选题 难度 简单 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 本题 考查 学生 解读 史料 获取信息 能力 英国 经历 长期 议会 国王 之间 斗争 德国 国王 领导 下 进行 统一 建立 君主立宪制 内容 不尽相同 法国 大革命 反反复复 最终 确立 共和制 美国 经历 独立战争 建立 共和制 显然 国情 不同 故项 正确 知识点 知识点 议会 权力 确立 法国 大革命 德意志 帝国 君主立宪制 确立 法国 共和制 确立 英国 国会 国王 殊死搏斗 责任制 内阁 形成 宰相 制度 废除 内阁 出现 英国 责任 内阁制 形成 两党制 形成 发展 世纪 法国 政体 变迁 海峡两岸 关系 发展,现代史
宋代 程颢 程颐 兄弟 提出 视听 言动 非理 不 礼礼 即理 不是 天理 便是 私欲 以此 倡导 人性本善 人们 自觉遵守 儒家 伦理 格物致知 克服 私欲 恢复 良知 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 材料 视听 言动 非理 不 礼礼 即理 不是 天理 便是 私欲 结合 所学 知识 可知 反映 要求 人们 自觉遵守 儒家 伦理 主张 正确 材料 未 涉及 人性本善 主张 排除 材料 无法 体现 格物致知 思想 排除 克服 私欲 恢复 良知 属于 王阳明 思想 排除 知识点 知识点 宋明理学 文艺 春天,现代史
称为 世纪 海上 马车夫 国家 西班牙 葡萄牙 荷兰 英国 题型 单选题 难度 简单 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 本题 主要 考察 知识 识记 能力 比较 容易 所学 知识 可知 荷兰 称为 世纪 海上 马车夫 国家 项是 世纪 项是 世纪 答案 选 知识点 知识点 世界市场 拓展 西欧国家 殖民 扩张 争夺 走向 会合 世界 世界市场 雏形 出现,近代史
左传 有云昔 周公 大公 股肱 周室 夹辅成 王成 王劳 赐 之盟 曰 世世 子孙 无相害 载 盟府 大师 职之 材料 表明 周天子 建立 绝对 权威 统治 秩序 西周 中枢 管理机构 蛮夷 之间 关系 西周 贵族 实行 集体 统治 基本 方式 同姓 异姓 诸侯 权利 义务 差异 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 依据 成王 劳之而 赐 之盟 曰 世世 子孙 无相害 可知 西周 加强 统治集团 内部 稳定 团结 实行 各级 贵族 集体 统治 方式 项 正确 周代 未 建立 君主专制 项 错误 材料 未 反映 蛮夷 相关 信息 项 错误 异性 诸侯 材料 信息 无关 项 错误 知识点 知识点 重 农抑商 政策 郡县制 夏商 两代 政治 制度 中央 官制 三公九卿 制 皇帝 制度,古代史
世纪 上半期 欧洲 发生 文化 变迁 柏林 伦敦 嗜好 说话 腔调 传播 国内 最 遥远 乡村 根深蒂固 地方 文化 全国性 文化 取代 各国 生活 方式 愈来愈 受到 国际 消费 文化 影响 下列 哪项 促成 这种 变化 主要 媒介 铁路 飞机 电视 电影 网络 漫画 报纸 广播 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 本题 主要 考查 学生 正确 解读 材料 运用 所学 知识 解决问题 能力 材料 中 时间 世纪 上半期 材料 事物 描述 可知 促成 材料 中 变化 主要 媒介 电影 电视 选项 交通工具 不是 大众 传播媒介 项中 网络 二十世纪 前期 还 未 出现 项 报纸 无法 及时 传播 柏林 伦敦 嗜好 说话 腔调 知识点 知识点 新古典主义 美术 浪漫主义 美术 世纪 世界 文学 影视 艺术 产生 发展,近代史
试图 精神 层面 化解 世纪 社会 危机 强调 突出 个体 道德 自我意识 社会 责任感 否定 用外 天理 管束 人心 程颢 朱熹 陆九渊 王阳明 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 题干 要求 选项 中 人物 世纪 思想家 所学 知识 可知 当时 中国 明朝 时期 选项 中 王阳明 属于 明朝 曾 提出 致 良知 知行合一 主张 恰恰 否定 用外 天理 管束 人心 故选 属于 用外 天理 管束 人心 排除 不 符合 题干 中 时间 排除 知识点 知识点 宋明理学 文艺 春天,现代史
春秋战国 时期 孔子 主张 举贤 才 孟子 认为 忧患 磨难 才能 造就人才 荀子 主张 尚贤 使 墨家 主张 不 分 贵贱 唯才是举 诸子 人才思想 共同 历史背景 争霸 战争 环境 需要 真才实学 人才 适应 新兴 地主阶级 当政 掌权 要求 反思 宗法 血缘关系 下世 官制 弊端 推动 春秋战国 时期 中国 社会变革 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 材料 可知 诸子都 主张 才能 选拔 官员 结合 春秋战国 时期 时代特征 可知 都 认为 宗法 血缘关系 特征 世 官制 不 适应 社会 发展 需要 诸子 人才思想 反映 要求 破旧 世卿 世禄制 不是 强调 真才实学 人才 重要性 故项 错误 孔子 代表 奴隶主 贵族 利益 墨家 代表 小 手工业者 利益 故项 排除 项是 百家争鸣 影响 题意 不符 排除 答案 知识点 知识点 重 农抑商 政策 郡县制 夏商 两代 政治 制度 选官 官 制度 变化 中央 官制 三公九卿 制 皇帝 制度,古代史
新 航路 开辟 后 人类 历史 发生 重大 转折 全球 史观 角度看 这一 转折 主要 指 欧洲 贸易中心 转 大西洋 沿岸 世界 分散 走向 整体 农业 文明 已经 转向 工业 文明 欧洲 经济 发展 超过 亚洲 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 全球 史观 角度看 新 航路 开辟 促进 人类 世界 分散 走向 整体 项 是从 商业 革命 角度 得出 结论 排除 项 是从 文明史 观 得出 结论 排除 项 属于 知识点 知识点 世界市场 拓展 走向 会合 世界 世界市场 雏形 出现 新 航路 开辟 原因 条件,近代史
公元前 六世纪 公元前 四 世纪 东西方 哲学思想 发展 重要 时期 当时 儒家 民本 思想 智者 学派 人文主义 思想 出现 社会 背景 主要 不同 讨论 主题 不同 诞生 政治 氛围 不同 价值 取向 不同 所处 历史 阶段 不同 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 项 说法 明显 错误 二者 均 关注 人 社会 大 动荡 大 变革 下 产物 后者 民主 政治 下 产物 项符合 史实 题意 正确 项 价值 取向 属于 无关 项 排除 项 本身 错误 都 属于 奴隶社会 时期 据此 可知 答案 知识点 知识点 程朱 理学 洛克 苏格拉底 重 农抑商 政策 郡县制 文艺 春天 春秋战国 时期 乐舞 智者 学派 春秋战国 时期 百家争鸣 夏商 两代 政治 制度 卢梭 中央 官制 三公九卿 制开 眼看 世界 皇帝 制度 法国 启蒙 思想家,现代史
年 英国 泰晤士报 曾 刊登 标题 文章 科学 革命 两个 副标题 宇宙 新 理论 牛顿 观念 破产 具有 科学 革命 意义 理念 相对论 量子论 日心说 经典力学 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 结合 所学 可知 爱因斯坦 狭义 相对论 年 提出 广义 相对论 年 提出 相对论 理论 提出 时间 材料 中年 接近 相对论 打破 经典力学 绝对 时空观 物理学 领域 一次 重大 革命 说 宣告 牛顿 观念 破产 故项 正确 量子 理论 年 普朗克 提出 时间 上 材料 中年 不 符合 量子 理论 弥补 牛顿 力学 认识 微观世界 方面 不足 文章 副标题 宇宙 新 理论 应是 宏观 方面 理论 故项 错误 日心说 世纪 最先 哥白尼 提出 远远 早 牛顿 不 存在 牛顿 观念 破产 说法 不 符合 题意 故项 错误 材料 中 牛顿 观念 指 牛顿 经典力学 牛顿 观念 破产 自相矛盾 故项 错误 据此 可知 答案 知识点 知识点 相对论 创立 量子论 诞生 发展,现代史
以下 数据 显示 中国 两种 最 重要 农产品 出口量 变化 反映 年 年 下降 幅度 中国 茶叶 出口额 万元 万元 中国 蚕丝 出口额 万元 万元 中国 自然经济 仍 占 主导地位 欧美 贸易 保护 打击 中国 经济 中国 农业 生产 水平 急剧下降 官僚资本 挤压 民族 资本 空间 题型 单选题 难度 简单 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 表格 显示 中国 茶叶 蚕丝 出口 年 下降 说明 经济危机 欧美国家 实行 贸易 保护 打击 中国 经济 正确 表格 显示 不 出 中国 自然经济 信息 错误 当时 中国 农产品 水平 依然 很 高 错误 不是 材料 体现 现象 主要 原因 排除 知识点 知识点 中国 民族 资本主义 曲折 发展 垄断组织 出现 第三产业 兴起 新 经济 出现 中学 体西学 为用 洋务运动 年 资本主义 世界 经济危机,近代史
文艺复兴 时期 强调 人 价值 追求 个性 解放 反对 神学 迷信 主要 是因为 新 航路 开辟 打破 天圆地方 说 资本主义 商业 发展 突出 人 作用 一大批 人文 精英 分子 积极 倡导 资产阶级 要求 掌握 国家 政治 权力 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 本题 主要 考查 文艺复兴 文艺复兴 运动 性质 资产阶级 文化 运动 资本主义 发展 服务 文艺复兴 人文主义 正是 适应 资本主义 工商业 发展 突出 人 个性 提出 不 符合 题意 故选 知识点 知识点 文艺复兴,近代史
世纪 年代 国际 国内形势 变化 中国 外交 取得 突出 成就 具体表现 提出 和平共处 五项原则 恢复 联合国 合法席位 中日 正式 建立 外交关系 恢复 苏联 友好 交往 题型 单选题 难度 简单 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 所学 可知 年 提出 和平共处 五项原则 排除 年 恢复 联合国 合法席位 正确 年 中日 正式 建立 外交关系 正确 改革开放 以后 恢复 苏联 友好 交往 排除 本题 正确 答案 选 答案 知识点 知识点 中美关系 正常化 中日 邦交 正常化 和平共处 五项原则 中国 恢复 联合国 合法席位,现代史
学者 记载 辜鸿铭 北京大学 任教 梳着 辫子 走进 课堂 学生 辫子 觉得 怪异 都 发笑 辜鸿铭 平静 地说 笑 无非 是因为 辫子 辫子 有形 剪掉 同学 脑袋 里 辫子 不 好 剪 海天 肖玮 沉重 转身 晚清 文人 实录 同学 脑袋 里 辫子 不 好 剪 根本原因 民主 共和 深入人心 政体 已经 发生 改变 专制 思想 深入人心 民主 政治 生活 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 本题 主要 考查 学生 正确 解读 材料 运用 所学 知识 解决问题 能力 材料 中心 中 辫子 却是 无形 指 传统 文化 思想 人 束缚 有利于 消除 旧 思想 影响 不选 专制 思想 还 残留 人们 头脑 中是 脑袋 里 辫子 不好 剪 原因 故选 知识点 知识点 清末 民主革命 风潮 新文化运动 辛亥革命 评价,近代史
著名 史学家 陈旭麓 先生 认为 年 以来 中国 外患 遭受 一次 失败 都 产生 体现 警悟 先觉 周围 身后 没有 社会 意义 群体 走得 越远 越 孤独 战争 大败 成 中国 巨祸 促成 中国 民族 认识 变革 中国 民族 具有 群体 意义 觉醒 战争 指 应 第二次 鸦片战争 甲午 中日战争 八国联军 侵华 战争 第一次世界大战 题型 单选题 难度 使用 次数 纠错 复制 收藏 空间 加入 选题 篮 查看 答案 解析 答案 解析 甲午战争 战败 民族 危机 大大 加深 救亡运动 高涨 中国 民族 具有 群体 意义 觉醒 排除 答案 知识点 知识点 八国联军 侵华 战争 清末 民主革命 风潮 甲午 中日战争 概况 影响 辛丑 条约 签订,近代史
